20.56 -0.92
21.13 -0.39
21.72 0.10
22.33 0.51
22.95 0.86
23.59 1.18
24.25 1.47
24.93 1.75
25.62 1.97
26.34 2.12
27.07 2.29
27.83 2.51
28.60 2.76
29.40 3.03
30.22 3.34
31.06 3.71
31.93 4.12
32.82 4.56
33.74 5.02
34.68 5.50
35.65 6.02
36.64 6.55
37.66 7.05
38.72 7.52
39.80 7.95
40.91 8.37
42.05 8.76
43.22 9.12
44.43 9.42
45.67 9.69
46.94 9.92
48.25 10.10
49.60 10.25
50.98 10.36
52.40 10.43
53.87 10.47
55.37 10.49
56.91 10.49
58.50 10.47
60.13 10.44
61.81 10.39
63.54 10.33
65.31 10.26
67.13 10.17
69.00 10.08
70.93 9.97
72.91 9.85
74.94 9.73
77.03 9.61
79.18 9.50
81.39 9.39
83.67 9.29
86.00 9.19
88.40 9.10
90.87 9.01
93.40 8.92
96.01 8.83
98.69 8.74
101.44 8.66
104.27 8.57
107.18 8.49
110.17 8.42
113.24 8.35
116.40 8.30
119.65 8.24
122.99 8.19
126.42 8.14
129.95 8.09
133.58 8.05
137.30 7.99
141.14 7.94
145.07 7.89
149.12 7.84
153.28 7.80
157.56 7.76
161.96 7.72
166.47 7.69
171.12 7.65
175.89 7.62
180.80 7.59
185.85 7.56
191.03 7.54
196.36 7.51
201.84 7.49
207.48 7.47
213.26 7.46
219.22 7.45
225.33 7.44
231.62 7.44
238.08 7.44
244.73 7.44
251.55 7.44
258.57 7.44
265.79 7.44
273.20 7.45
280.83 7.47
288.66 7.49
296.72 7.51
305.00 7.54
313.51 7.57
322.26 7.59
331.25 7.60
340.49 7.60
349.99 7.58
359.76 7.56
369.80 7.53
380.11 7.51
390.72 7.51
401.62 7.54
412.83 7.58
424.35 7.65
436.19 7.73
448.36 7.84
460.87 7.95
473.73 8.05
486.95 8.13
500.54 8.21
514.50 8.30
528.86 8.40
543.62 8.50
558.79 8.60
574.38 8.70
590.40 8.80
606.88 8.88
623.81 8.88
641.22 8.86
659.11 8.84
677.50 8.88
696.41 8.97
715.84 9.11
735.81 9.29
756.34 9.53
777.45 9.81
799.14 10.08
821.44 10.27
844.36 10.38
867.92 10.43
892.14 10.44
917.03 10.40
942.62 10.29
968.92 10.13
995.96 9.95
1023.75 9.77
1052.31 9.61
1081.68 9.45
1111.86 9.25
1142.88 9.00
1174.77 8.74
1207.55 8.49
1241.25 8.24
1275.88 7.98
1311.48 7.65
1348.08 7.25
1385.69 6.84
1424.36 6.47
1464.10 6.15
1504.96 5.81
1546.95 5.46
1590.11 5.12
1634.48 4.83
1680.09 4.65
1726.97 4.58
1775.16 4.61
1824.69 4.71
1875.61 4.87
1927.94 5.07
1981.74 5.33
2037.03 5.59
2093.87 5.83
2152.30 6.01
2212.35 6.11
2274.09 6.11
2337.54 6.03
2402.76 5.88
2469.81 5.66
2538.72 5.38
2609.56 5.03
2682.38 4.61
2757.23 4.15
2834.16 3.72
2913.24 3.35
2994.53 3.02
3078.09 2.73
3163.98 2.51
3252.26 2.35
3343.01 2.27
3436.29 2.20
3532.17 2.08
3630.73 1.88
3732.04 1.59
3836.18 1.19
3943.22 0.69
4053.25 0.16
4166.34 -0.25
4282.60 -0.45
4402.10 -0.42
4524.93 -0.27
4651.19 -0.09
4780.97 0.09
4914.37 0.20
5051.50 0.18
5192.45 -0.02
5337.34 -0.35
5486.27 -0.80
5639.35 -1.36
5796.71 -2.01
5958.45 -2.70
6124.71 -3.36
6295.61 -4.00
6471.28 -4.71
6651.85 -5.60
6837.46 -6.73
7028.24 -7.97
7224.35 -9.03
7425.93 -9.73
7633.14 -9.93
7846.13 -9.59
8065.06 -8.89
8290.10 -8.27
8521.42 -7.97
8759.20 -7.82
9003.61 -7.49
9254.83 -6.94
9513.07 -6.43
9778.52 -6.23
10051.37 -6.26
10331.83 -6.22
10620.12 -6.13
10916.46 -5.96
11221.06 -5.60
11534.17 -4.94
11856.00 -3.96
12186.82 -3.01
12526.88 -2.41
12876.41 -2.16
13235.71 -2.09
13605.02 -2.11
13984.65 -2.23
14374.86 -2.51
14775.97 -3.06
15188.26 -3.95
15612.06 -4.83
16047.69 -4.94
16495.47 -4.29
16955.74 -3.36
17428.86 -2.49
17915.18 -1.75
18415.07 -1.13
18928.91 -0.56
19457.09 0.00
